step,episode,reward,episode_length,loss
2,1,1.0,2.0,0.1473402976989746
4,2,1.0,2.0,0.09195917844772339
6,3,-1.0,2.0,0.46717357635498047
8,4,0.0,2.0,0.03601782023906708
10,5,1.0,2.0,0.08750773966312408
12,6,-1.0,2.0,0.4329850673675537
14,7,1.0,2.0,0.11243534088134766
16,8,-1.0,2.0,0.3733833432197571
18,9,1.0,2.0,0.15186847746372223
20,10,-1.0,2.0,0.3283974230289459
22,11,1.0,2.0,0.17621374130249023
24,12,1.0,2.0,0.168501615524292
26,13,1.0,2.0,0.15407952666282654
28,14,1.0,2.0,0.1417505443096161
30,15,-1.0,2.0,0.3940582871437073
32,16,1.0,2.0,0.1200520321726799
34,17,-1.0,2.0,0.4114557206630707
36,18,-1.0,2.0,0.3656134009361267
38,19,1.0,2.0,0.1384340077638626
40,20,1.0,2.0,0.1545490324497223
